"CIRCOSCRIZIONE","COLLEGIO_UNINOMINALE","DESCR_LISTA","CANDIDATO","DATA_NASCITA","LUOGO_NASCITA"
"TOSCANA","TOSCANA - U09 (AREZZO)"," +EUROPA","VINCENZO CECCARELLI","03/03/1960","CASTEL SAN NICCOLO'"
"TOSCANA","TOSCANA - U09 (AREZZO)","VITA","SABRINA MANCINI","20/09/1974","EMPOLI"
"TOSCANA","TOSCANA - U09 (AREZZO)","ITALIA SOVRANA E POPOLARE","ROSALBA FANCIULLI","24/02/1959","ORBETELLO"
"TOSCANA","TOSCANA - U09 (AREZZO)","MOVIMENTO 5 STELLE","TOMMASO PIERAZZI","27/11/1970","SAN GIOVANNI VALDARNO"
"TOSCANA","TOSCANA - U04 (PISA)","ITALEXIT PER L'ITALIA","MANUELA TERRANOVA","27/05/1982","MASSA"
"TOSCANA","TOSCANA - U04 (PISA)","UNIONE POPOLARE CON DE MAGISTRIS","STEFANO TEOTINO","09/07/1966","PISA "
"TOSCANA","TOSCANA - U04 (PISA)","AZIONE - ITALIA VIVA - CALENDA","MICHELE  PASSARELLI LIO","14/04/1969","COSENZA"
"TOSCANA","TOSCANA - U04 (PISA)","FRATELLI D'ITALIA CON GIORGIA MELONI","EDOARDO ZIELLO","11/04/1992","CIVITAVECCHIA (RM)"
"TOSCANA","TOSCANA - U04 (PISA)","LEGA PER SALVINI PREMIER","EDOARDO ZIELLO","11/04/1992","CIVITAVECCHIA (RM)"
"TOSCANA","TOSCANA - U04 (PISA)","FORZA ITALIA","EDOARDO ZIELLO","11/04/1992","CIVITAVECCHIA (RM)"
"TOSCANA","TOSCANA - U04 (PISA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","EDOARDO ZIELLO","11/04/1992","CIVITAVECCHIA (RM)"
"TOSCANA","TOSCANA - U04 (PISA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","STEFANO  CECCANTI","27/01/1961","PISA"
"TOSCANA","TOSCANA - U04 (PISA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","STEFANO  CECCANTI","27/01/1961","PISA"
"TOSCANA","TOSCANA - U04 (PISA)","ALLEANZA VERDI E SINISTRA","STEFANO  CECCANTI","27/01/1961","PISA"
"TOSCANA","TOSCANA - U04 (PISA)"," +EUROPA","STEFANO  CECCANTI","27/01/1961","PISA"
"TOSCANA","TOSCANA - U04 (PISA)","VITA","SABINA BARGAGNA","29/04/1974","PISA "
"TOSCANA","TOSCANA - U04 (PISA)","ITALIA SOVRANA E POPOLARE","FRANCESCO  SALE ","07/11/1981","PISA "
"TOSCANA","TOSCANA - U04 (PISA)","MOVIMENTO 5 STELLE","CLAUDIO LOCONSOLE","17/12/1985","TRANI (BT)"
"TOSCANA","TOSCANA - U07 (FIRENZE)","ITALEXIT PER L'ITALIA","VERA BALSIMELLI ","07/05/1979","MADRID (SPAGNA)"
"TOSCANA","TOSCANA - U07 (FIRENZE)","UNIONE POPOLARE CON DE MAGISTRIS","STEFANO CECCHI","28/10/1954","FIRENZE "
"TOSCANA","TOSCANA - U07 (FIRENZE)","AZIONE - ITALIA VIVA - CALENDA","LUCIA ANNIBALI","18/09/1977","URBINO"
"TOSCANA","TOSCANA - U07 (FIRENZE)","FRATELLI D'ITALIA CON GIORGIA MELONI","ANGELA SIRELLO","23/05/1968","LIVORNO"
"TOSCANA","TOSCANA - U07 (FIRENZE)","LEGA PER SALVINI PREMIER","ANGELA SIRELLO","23/05/1968","LIVORNO"
"TOSCANA","TOSCANA - U07 (FIRENZE)","FORZA ITALIA","ANGELA SIRELLO","23/05/1968","LIVORNO"
"TOSCANA","TOSCANA - U07 (FIRENZE)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ANGELA SIRELLO","23/05/1968","LIVORNO"
"TOSCANA","TOSCANA - U07 (FIRENZE)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","FEDERICO GIANASSI","21/05/1980","FIRENZE "
"TOSCANA","TOSCANA - U07 (FIRENZE)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","FEDERICO GIANASSI","21/05/1980","FIRENZE "
"TOSCANA","TOSCANA - U07 (FIRENZE)","ALLEANZA VERDI E SINISTRA","FEDERICO GIANASSI","21/05/1980","FIRENZE "
"TOSCANA","TOSCANA - U07 (FIRENZE)"," +EUROPA","FEDERICO GIANASSI","21/05/1980","FIRENZE "
"TOSCANA","TOSCANA - U07 (FIRENZE)","VITA","FATIMA FRANGIONI","03/03/1962","FUCECCHIO (FI)"
"TOSCANA","TOSCANA - U07 (FIRENZE)","ITALIA SOVRANA E POPOLARE","MASSIMO  ORLANDINI","27/11/1966","FIRENZE "
"TOSCANA","TOSCANA - U07 (FIRENZE)","MOVIMENTO 5 STELLE","ANDREA QUARTINI","21/03/1960","GAMBASSI (FI)"
"TOSCANA","TOSCANA - U08 (SCANDICCI)","ITALEXIT PER L'ITALIA","DANIELE FALCIAI","23/05/1966","FIRENZE"
"TOSCANA","TOSCANA - U08 (SCANDICCI)","UNIONE POPOLARE CON DE MAGISTRIS","SAMUELA MARCONCINI","16/03/1980","EMPOLI"
"TOSCANA","TOSCANA - U08 (SCANDICCI)","AZIONE - ITALIA VIVA - CALENDA","GABRIELE TOCCAFONDI","15/04/1972","FIRENZE"
"TOSCANA","TOSCANA - U08 (SCANDICCI)","FRATELLI D'ITALIA CON GIORGIA MELONI","CHIARA MAZZEI","21/03/1976","BERGAMO"
"TOSCANA","TOSCANA - U08 (SCANDICCI)","LEGA PER SALVINI PREMIER","CHIARA MAZZEI","21/03/1976","BERGAMO"
"TOSCANA","TOSCANA - U08 (SCANDICCI)","FORZA ITALIA","CHIARA MAZZEI","21/03/1976","BERGAMO"
"TOSCANA","TOSCANA - U08 (SCANDICCI)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","CHIARA MAZZEI","21/03/1976","BERGAMO"
"TOSCANA","TOSCANA - U08 (SCANDICCI)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","EMILIANO FOSSI","02/09/1973","FIRENZE "
"TOSCANA","TOSCANA - U08 (SCANDICCI)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","EMILIANO FOSSI","02/09/1973","FIRENZE "
"TOSCANA","TOSCANA - U08 (SCANDICCI)","ALLEANZA VERDI E SINISTRA","EMILIANO FOSSI","02/09/1973","FIRENZE "
"TOSCANA","TOSCANA - U08 (SCANDICCI)"," +EUROPA","EMILIANO FOSSI","02/09/1973","FIRENZE "
"TOSCANA","TOSCANA - U08 (SCANDICCI)","VITA","LUCA BANDINI","02/06/1986","FIRENZE "
"TOSCANA","TOSCANA - U08 (SCANDICCI)","ITALIA SOVRANA E POPOLARE","AMBRA RONCUCCI","05/12/1983","BAGNO A RIPOLI"
"TOSCANA","TOSCANA - U08 (SCANDICCI)","MOVIMENTO 5 STELLE","MARIA LETIZIA MAGNELLI","04/07/1978","FIRENZE"
"UMBRIA","UMBRIA - U01 (TERNI)","AZIONE - ITALIA VIVA - CALENDA","FRANCO RAIMONDO BARBABELLA","28/08/1945","ALLERONA (TR)"
"UMBRIA","UMBRIA - U01 (TERNI)","ITALIA SOVRANA E POPOLARE","MATTEO NATALINI","15/03/1982","TERNI"
"UMBRIA","UMBRIA - U01 (TERNI)","MOVIMENTO 5 STELLE","ILARIA GABRIELLI","20/10/1973","SIENA"
"UMBRIA","UMBRIA - U01 (TERNI)","UNIONE POPOLARE CON DE MAGISTRIS","BENEDETTA CALDERIGI","17/08/1988","TERNI"
"UMBRIA","UMBRIA - U01 (TERNI)","ALLEANZA VERDI E SINISTRA","FRANCESCO DE REBOTTI","16/07/1972","TERNI"
"UMBRIA","UMBRIA - U01 (TERNI)"," +EUROPA","FRANCESCO DE REBOTTI","16/07/1972","TERNI"
"UMBRIA","UMBRIA - U01 (TERNI)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","FRANCESCO DE REBOTTI","16/07/1972","TERNI"
"UMBRIA","UMBRIA - U01 (TERNI)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","FRANCESCO DE REBOTTI","16/07/1972","TERNI"
"UMBRIA","UMBRIA - U01 (TERNI)","ITALEXIT PER L'ITALIA","ANDREA BINDOCCI","29/07/1963","PERUGIA"
"UMBRIA","UMBRIA - U01 (TERNI)","MASTELLA NOI DI CENTRO EUROPEISTI","VALENTINA MARIA CARMELA PARISI","08/06/1971","CATANIA"
"UMBRIA","UMBRIA - U01 (TERNI)","PARTITO COMUNISTA ITALIANO","ANNA DE CARLO","22/01/1958","ROMA"
"UMBRIA","UMBRIA - U01 (TERNI)","VITA","ALESSANDRA GARAFFA","01/10/1969","PERUGIA"
"UMBRIA","UMBRIA - U01 (TERNI)","FRATELLI D'ITALIA CON GIORGIA MELONI","RAFFAELE NEVI","09/03/1973","NARNI (TR)"
"UMBRIA","UMBRIA - U01 (TERNI)","LEGA PER SALVINI PREMIER","RAFFAELE NEVI","09/03/1973","NARNI (TR)"
"UMBRIA","UMBRIA - U01 (TERNI)","FORZA ITALIA","RAFFAELE NEVI","09/03/1973","NARNI (TR)"
"UMBRIA","UMBRIA - U01 (TERNI)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","RAFFAELE NEVI","09/03/1973","NARNI (TR)"
"UMBRIA","UMBRIA - U02 (PERUGIA)","AZIONE - ITALIA VIVA - CALENDA","CARLA CASCIARI","08/07/1970","PERUGIA"
"UMBRIA","UMBRIA - U02 (PERUGIA)","ITALIA SOVRANA E POPOLARE","PATRIZIA CASAVECCHIA","18/06/1960","PERUGIA"
"UMBRIA","UMBRIA - U02 (PERUGIA)","MOVIMENTO 5 STELLE","ALESSANDRA RUFFINI","21/10/1975","TERNI"
"UMBRIA","UMBRIA - U02 (PERUGIA)","UNIONE POPOLARE CON DE MAGISTRIS","ROBERTO GHIANDONI","18/12/1971","ROMA"
"UMBRIA","UMBRIA - U02 (PERUGIA)","ALLEANZA VERDI E SINISTRA","STEFANO VINTI","24/06/1968","PERUGIA"
"UMBRIA","UMBRIA - U02 (PERUGIA)"," +EUROPA","STEFANO VINTI","24/06/1968","PERUGIA"
"UMBRIA","UMBRIA - U02 (PERUGIA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","STEFANO VINTI","24/06/1968","PERUGIA"
"UMBRIA","UMBRIA - U02 (PERUGIA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","STEFANO VINTI","24/06/1968","PERUGIA"
"UMBRIA","UMBRIA - U02 (PERUGIA)","ITALEXIT PER L'ITALIA","MAELA PERAIO","09/02/1968","TERNI"
"UMBRIA","UMBRIA - U02 (PERUGIA)","MASTELLA NOI DI CENTRO EUROPEISTI","GIOVANNI ANTONIO COCCO","05/10/1959","ROMA"
"UMBRIA","UMBRIA - U02 (PERUGIA)","PARTITO COMUNISTA ITALIANO","MATTEO GALLI","10/06/1982","ORVIETO (TR)"
"UMBRIA","UMBRIA - U02 (PERUGIA)","VITA","DAVID URRU","07/08/1960","PERUGIA"
"UMBRIA","UMBRIA - U02 (PERUGIA)","FRATELLI D'ITALIA CON GIORGIA MELONI","VIRGINIO CAPARVI","25/09/1982","FOLIGNO (PG)"
"UMBRIA","UMBRIA - U02 (PERUGIA)","LEGA PER SALVINI PREMIER","VIRGINIO CAPARVI","25/09/1982","FOLIGNO (PG)"
"UMBRIA","UMBRIA - U02 (PERUGIA)","FORZA ITALIA","VIRGINIO CAPARVI","25/09/1982","FOLIGNO (PG)"
"UMBRIA","UMBRIA - U02 (PERUGIA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","VIRGINIO CAPARVI","25/09/1982","FOLIGNO (PG)"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","PARTITO COMUNISTA ITALIANO","RUGGERO GIACOMINI","01/05/1945","SARNANO"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","MERI MARZIALI","29/12/1978","SAN BENEDETTO DEL TRONTO"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","ALLEANZA VERDI E SINISTRA","MERI MARZIALI","29/12/1978","SAN BENEDETTO DEL TRONTO"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","MERI MARZIALI","29/12/1978","SAN BENEDETTO DEL TRONTO"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)"," +EUROPA","MERI MARZIALI","29/12/1978","SAN BENEDETTO DEL TRONTO"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","VITA","MARIA TERESA TARONI","13/09/1959","LUGO"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","ITALIA SOVRANA E POPOLARE","CATIA JACHETTI","20/10/1966","ANCONA"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","MOVIMENTO 5 STELLE","GIORGIO FEDE","23/12/1961","SAN BENEDETTO DEL TRONTO"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","OSCAR PIERGALLINI","11/11/1974","SAN BENEDETTO DEL TRONTO"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","AZIONE - ITALIA VIVA - CALENDA","MARIA STELLA ORIGLIA","12/08/1967","ROMA"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","FRANCESCO BATTISTONI","23/02/1967","MONTEFIASCONE"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","FORZA ITALIA","FRANCESCO BATTISTONI","23/02/1967","MONTEFIASCONE"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","FRATELLI D'ITALIA CON GIORGIA MELONI","FRANCESCO BATTISTONI","23/02/1967","MONTEFIASCONE"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","LEGA PER SALVINI PREMIER","FRANCESCO BATTISTONI","23/02/1967","MONTEFIASCONE"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","UNIONE POPOLARE CON DE MAGISTRIS","DILETTA PARRINO","08/04/1972","FERMO"
"MARCHE","MARCHE - U01 (ASCOLI PICENO)","ITALEXIT PER L'ITALIA","GUIDO OLIVIERI","10/03/1972","SAN BENEDETTO DEL TRONTO"
"MARCHE","MARCHE - U02 (MACERATA)","PARTITO COMUNISTA ITALIANO","DANIELE CARDINALI","04/12/1976","LORETO"
"MARCHE","MARCHE - U02 (MACERATA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","FULVIO ESPOSITO","06/07/1951","VIAREGGIO"
"MARCHE","MARCHE - U02 (MACERATA)","ALLEANZA VERDI E SINISTRA","FULVIO ESPOSITO","06/07/1951","VIAREGGIO"
"MARCHE","MARCHE - U02 (MACERATA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","FULVIO ESPOSITO","06/07/1951","VIAREGGIO"
"MARCHE","MARCHE - U02 (MACERATA)"," +EUROPA","FULVIO ESPOSITO","06/07/1951","VIAREGGIO"
"MARCHE","MARCHE - U02 (MACERATA)","VITA","ALESSANDRA CONTIGIANI","05/04/1982","MACERATA"
"MARCHE","MARCHE - U02 (MACERATA)","ITALIA SOVRANA E POPOLARE","ALESSANDRA PERUGINI","18/05/1979","FERMO"
"MARCHE","MARCHE - U02 (MACERATA)","MOVIMENTO 5 STELLE","MIRELLA EMILIOZZI","11/06/1968","MACERATA"
"MARCHE","MARCHE - U02 (MACERATA)","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","CLARA FERRANTI","02/03/1964","FERMO"
"MARCHE","MARCHE - U02 (MACERATA)","AZIONE - ITALIA VIVA - CALENDA","MARIANO CALAMITA","07/10/1968","MACERATA"
"MARCHE","MARCHE - U02 (MACERATA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","GIORGIA LATINI","18/04/1980","FABRIANO"
"MARCHE","MARCHE - U02 (MACERATA)","FORZA ITALIA","GIORGIA LATINI","18/04/1980","FABRIANO"
"MARCHE","MARCHE - U02 (MACERATA)","FRATELLI D'ITALIA CON GIORGIA MELONI","GIORGIA LATINI","18/04/1980","FABRIANO"
"MARCHE","MARCHE - U02 (MACERATA)","LEGA PER SALVINI PREMIER","GIORGIA LATINI","18/04/1980","FABRIANO"
"MARCHE","MARCHE - U02 (MACERATA)","UNIONE POPOLARE CON DE MAGISTRIS","SIMONE MARINCIONI","09/09/1970","MACERATA"
"MARCHE","MARCHE - U02 (MACERATA)","ITALEXIT PER L'ITALIA","KATJUSCIA DELMONTE","12/02/1968","PESARO"
"MARCHE","MARCHE - U03 (ANCONA)","PARTITO COMUNISTA ITALIANO","ROBERTA COLETTA","14/01/1980","OSIMO"
"MARCHE","MARCHE - U03 (ANCONA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ANTONIO MASTROVINCENZO","25/08/1968","CAMERINO"
"MARCHE","MARCHE - U03 (ANCONA)","ALLEANZA VERDI E SINISTRA","ANTONIO MASTROVINCENZO","25/08/1968","CAMERINO"
"MARCHE","MARCHE - U03 (ANCONA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ANTONIO MASTROVINCENZO","25/08/1968","CAMERINO"
"MARCHE","MARCHE - U03 (ANCONA)"," +EUROPA","ANTONIO MASTROVINCENZO","25/08/1968","CAMERINO"
"MARCHE","MARCHE - U03 (ANCONA)","VITA","PAOLO SANDONNINI","16/04/1983","BRENO"
"MARCHE","MARCHE - U03 (ANCONA)","ITALIA SOVRANA E POPOLARE","ANDREA GRILLI","01/06/1982","CHIARAVALLE"
"MARCHE","MARCHE - U03 (ANCONA)","MOVIMENTO 5 STELLE","GABRIELE SANTARELLI","10/06/1977","FABRIANO"
"MARCHE","MARCHE - U03 (ANCONA)","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","FABIO SEBASTIANELLI","07/03/1970","ANCONA"
"MARCHE","MARCHE - U03 (ANCONA)","AZIONE - ITALIA VIVA - CALENDA","FRANCESCA CANTARINI","22/04/1972","ANCONA"
"MARCHE","MARCHE - U03 (ANCONA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","STEFANO MARIA BENVENUTI GOSTOLI","17/01/1976","ANCONA"
"MARCHE","MARCHE - U03 (ANCONA)","FORZA ITALIA","STEFANO MARIA BENVENUTI GOSTOLI","17/01/1976","ANCONA"
"MARCHE","MARCHE - U03 (ANCONA)","FRATELLI D'ITALIA CON GIORGIA MELONI","STEFANO MARIA BENVENUTI GOSTOLI","17/01/1976","ANCONA"
"MARCHE","MARCHE - U03 (ANCONA)","LEGA PER SALVINI PREMIER","STEFANO MARIA BENVENUTI GOSTOLI","17/01/1976","ANCONA"
"MARCHE","MARCHE - U03 (ANCONA)","UNIONE POPOLARE CON DE MAGISTRIS","ANNA MAURIZI","06/01/1991","ANCONA"
"MARCHE","MARCHE - U03 (ANCONA)","ITALEXIT PER L'ITALIA","MASSIMO GIANANGELI","18/06/1970","JESI (AN)"
"MARCHE","MARCHE - U04 (PESARO)","PARTITO COMUNISTA ITALIANO","CHIARA PIZZORNO","03/02/1985","PESARO"
"MARCHE","MARCHE - U04 (PESARO)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","GIORDANO MASINI","19/01/1971","ROMA"
"MARCHE","MARCHE - U04 (PESARO)","ALLEANZA VERDI E SINISTRA","GIORDANO MASINI","19/01/1971","ROMA"
"MARCHE","MARCHE - U04 (PESARO)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","GIORDANO MASINI","19/01/1971","ROMA"
"MARCHE","MARCHE - U04 (PESARO)"," +EUROPA","GIORDANO MASINI","19/01/1971","ROMA"
"MARCHE","MARCHE - U04 (PESARO)","VITA","ALESSIO CANALINI","06/11/1977","PESARO"
"MARCHE","MARCHE - U04 (PESARO)","ITALIA SOVRANA E POPOLARE","DALIBOR CVEJIC","03/05/1976","BELGRADO (SERBIA)"
"MARCHE","MARCHE - U04 (PESARO)","MOVIMENTO 5 STELLE","ROSSELLA ACCOTO","13/10/1969","BRINDISI"
"MARCHE","MARCHE - U04 (PESARO)","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","LORENA NARCISI","16/10/1973","SAN BENEDETTO DEL TRONTO"
"MARCHE","MARCHE - U04 (PESARO)","AZIONE - ITALIA VIVA - CALENDA","FEDERICO TALE'","31/01/1972","MONDAVIO"
"MARCHE","MARCHE - U04 (PESARO)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","MIRCO CARLONI","14/01/1981","FANO"
"MARCHE","MARCHE - U04 (PESARO)","FORZA ITALIA","MIRCO CARLONI","14/01/1981","FANO"
"MARCHE","MARCHE - U04 (PESARO)","FRATELLI D'ITALIA CON GIORGIA MELONI","MIRCO CARLONI","14/01/1981","FANO"
"MARCHE","MARCHE - U04 (PESARO)","LEGA PER SALVINI PREMIER","MIRCO CARLONI","14/01/1981","FANO"
"MARCHE","MARCHE - U04 (PESARO)","UNIONE POPOLARE CON DE MAGISTRIS","RENZO SAVELLI","28/03/1945","FOSSOMBRONE"
"MARCHE","MARCHE - U04 (PESARO)","ITALEXIT PER L'ITALIA","STEFANO PUZZER","18/01/1976","TRIESTE"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","VITA","MARIA CARSANA","25/08/1957","ROMA"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","MOVIMENTO 5 STELLE","LIVIO DE SANTOLI","07/01/1956","CARACAS (VENEZUELA)"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","UNIONE POPOLARE CON DE MAGISTRIS","ELISABETTA CANITANO","17/04/1955","FERRARA"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","SIMONE DI STEFANO","12/08/1976","ROMA"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","ITALIA SOVRANA E POPOLARE","FABIO MASSIMO VERNILLO","17/05/1964","ROMA"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","PARTITO DELLA FOLLIA CREATIVA","GIUSEPPE CIRILLO DETTO OSCURATO","03/01/1953","SANTA MARIA CAPUA VETERE (CE)"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","PAOLO CIANI","15/05/1970","ROMA"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","PAOLO CIANI","15/05/1970","ROMA"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","ALLEANZA VERDI E SINISTRA","PAOLO CIANI","15/05/1970","ROMA"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)"," +EUROPA","PAOLO CIANI","15/05/1970","ROMA"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","ITALEXIT PER L'ITALIA","GIOVANNI FRAJESE","21/02/1972","ROMA"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","AZIONE - ITALIA VIVA - CALENDA","ELENA BONETTI","12/04/1974","ASOLA (MN)"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","MARIA SPENA","24/03/1962","NAPOLI"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","LEGA PER SALVINI PREMIER","MARIA SPENA","24/03/1962","NAPOLI"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","FRATELLI D'ITALIA CON GIORGIA MELONI","MARIA SPENA","24/03/1962","NAPOLI"
"LAZIO 1","LAZIO 1 - U01 (ROMA: MUNICIPIO I)","FORZA ITALIA","MARIA SPENA","24/03/1962","NAPOLI"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","VITA","DAVIDE BARILLARI","26/02/1974","MILANO"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","MOVIMENTO 5 STELLE","MANUEL TUZI","27/12/1987","ROMA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","UNIONE POPOLARE CON DE MAGISTRIS","RAUL MORDENTI","06/08/1947","ROMA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","MICHELA ESPOSITO","14/06/1977","NAPOLI"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","ITALIA SOVRANA E POPOLARE","EMANUELE LUCA","26/06/1970","ROMA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","PARTITO DELLA FOLLIA CREATIVA","GIULIA CASTELLI","22/05/1975","CASERTA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ENZO FOSCHI","27/03/1966","ROMA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ENZO FOSCHI","27/03/1966","ROMA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","ALLEANZA VERDI E SINISTRA","ENZO FOSCHI","27/03/1966","ROMA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)"," +EUROPA","ENZO FOSCHI","27/03/1966","ROMA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","ITALEXIT PER L'ITALIA","GIORGIA VENERANDI","23/10/1975","ROMA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","AZIONE - ITALIA VIVA - CALENDA","FABIO DIONISI","06/05/1963","ROMA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","SIMONETTA MATONE","16/06/1953","ROMA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","LEGA PER SALVINI PREMIER","SIMONETTA MATONE","16/06/1953","ROMA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","FRATELLI D'ITALIA CON GIORGIA MELONI","SIMONETTA MATONE","16/06/1953","ROMA"
"LAZIO 1","LAZIO 1 - U02 (ROMA: MUNICIPIO III)","FORZA ITALIA","SIMONETTA MATONE","16/06/1953","ROMA"
"LAZIO 1","LAZIO 1 - U03 (ROMA: MUNICIPIO V)","VITA","MASSIMO FIORANELLI","09/07/1958","ROMA"
"LAZIO 1","LAZIO 1 - U03 (ROMA: MUNICIPIO V)","MOVIMENTO 5 STELLE","ANGELA SALAFIA","12/02/1979","NAPOLI"
"LAZIO 1","LAZIO 1 - U03 (ROMA: MUNICIPIO V)","UNIONE POPOLARE CON DE MAGISTRIS","ELEONORA FORENZA","10/11/1976","BARI"
"LAZIO 1","LAZIO 1 - U03 (ROMA: MUNICIPIO V)","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","ANTONIO CASINI","06/02/1970","CAMERINO (MC)"
"LAZIO 1","LAZIO 1 - U03 (ROMA: MUNICIPIO V)","ITALIA SOVRANA E POPOLARE","ARNALDO VITANGELI","28/01/1977","ROMA"
